UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
546,546,546,546,546,2630,546,546,546
917,917,917,917,917,1500,1487,917,917
434,434,434,434,434,1469,434,434,434
893,794,554,893,893,554,554,554,554
1186,1186,1186,1186,1852,1778,1186,1186,1186
793,793,793,793,793,1056,793,793,793
700,700,700,700,700,1562,700,700,700
2769,2769,2769,2769,2769,4702,2769,2769,2769
780,780,780,781,781,781,780,780,780
688,688,688,688,688,1788,688,688,688
1453,1453,1453,1453,1453,1279,1453,1453,1453
379,379,379,379,379,379,379,379,379
280,1393,1831,280,280,2757,1393,1393,280
1569,1616,1569,1660,1844,1616,1616,1569,1569
2417,2417,2078,2780,2780,2078,2078,2078,2078
2009,337,2357,1571,2357,1952,337,337,2357
877,626,626,877,626,692,850,626,626
1299,1299,2100,1299,1299,2585,1299,1951,2081
367,367,367,367,367,1128,571,571,367
344,409,344,344,344,344,344,344,344
2310,2293,2310,2310,2619,2906,2660,2768,2293
643,643,643,643,643,671,643,643,643
1295,1367,1422,1295,1295,1337,1295,1295,1295
1291,1291,1450,1291,1291,743,1291,1450,1291
569,693,693,693,468,468,468,759,693
1925,1012,1728,2216,1012,1118,1287,2216,1728
1610,1137,1626,1610,1055,1190,1055,1055,1677
1302,1302,1302,1302,1302,1218,1302,1302,1302
534,534,534,534,534,534,534,534,534
1272,1272,1272,551,1272,1788,551,551,1272
1573,1573,1573,1620,1573,1620,1620,1573,1573
411,411,411,411,411,411,411,411,411
1782,1617,1728,1782,1559,1695,1559,1559,1728
1015,1064,728,1015,1064,1064,728,728,757
463,463,463,463,463,1653,463,463,463
840,699,699,699,1179,1179,699,699,699
251,251,251,774,774,1178,251,251,774
399,399,399,399,399,606,399,399,399
472,865,472,472,472,2796,865,865,472
813,1097,448,1097,1097,1094,1097,1097,448
2126,2126,2126,2126,2126,3239,2126,2126,2126
383,383,383,722,722,722,722,722,383
356,356,356,356,356,356,356,356,356
2275,2139,2139,2430,2430,2592,2139,2139,2139
372,372,372,372,372,445,372,372,372
470,470,1312,470,470,1651,470,470,470
429,429,793,462,793,861,429,793,429
409,434,409,434,434,435,434,434,434
407,407,407,407,407,3265,407,407,407
1656,1656,1656,1837,1837,1656,1656,1656,1656
1433,1208,1433,1208,1433,1433,1433,1208,1208
910,861,910,773,861,1200,1200,1200,861
346,346,346,767,767,767,346,346,346
1517,1517,1517,1517,1517,1862,1517,1517,1517
432,432,231,432,432,231,231,432,231
725,725,725,725,725,2648,725,725,725
385,385,385,385,385,1059,385,385,685
871,871,871,871,871,1733,871,871,871
346,346,346,378,378,629,346,346,378
820,820,820,820,820,1144,820,820,820
683,683,683,683,683,3181,683,683,683
2428,2428,2428,2428,2428,2588,2428,2428,2428
468,468,468,468,468,468,468,468,468
680,491,491,491,491,1201,680,491,491
291,291,291,291,291,397,397,291,291
1137,1137,1137,1137,1406,1165,1137,1137,1137
720,720,720,720,720,809,720,720,720
680,680,680,1057,1057,1057,1057,1057,680
870,850,870,870,870,922,870,870,870
998,445,445,998,445,672,550,550,672
984,354,354,984,541,354,354,354,354
625,625,625,625,625,1597,625,625,625
299,371,299,665,665,299,299,665,665
341,341,341,341,341,341,341,341,341
251,251,251,251,774,1348,251,251,774
898,898,898,898,898,1161,898,898,905
300,300,300,300,300,300,300,300,300
805,805,805,805,1266,1482,805,805,805
342,342,342,342,342,1933,342,342,342
532,532,532,532,532,532,532,532,532
646,646,646,646,669,812,646,646,646
447,447,447,447,447,829,447,447,447
976,976,976,976,976,1009,976,976,976
434,434,434,434,434,1324,434,434,434
929,929,929,929,929,2378,929,929,929
348,348,348,348,348,348,348,348,348
451,451,451,451,451,767,451,451,612
766,766,766,766,955,1628,766,766,955
410,410,410,410,410,1038,410,410,410
373,373,373,373,373,1547,373,373,373
754,754,754,754,754,1099,754,754,754
396,396,396,396,396,929,500,396,500
477,477,477,477,477,1082,477,477,477
333,333,333,333,333,333,333,333,333
726,726,726,726,726,1164,1076,726,726
982,982,982,982,1074,984,982,982,982
499,499,499,640,529,846,499,499,499
813,772,813,813,813,947,772,772,772
1622,1622,1622,1622,1622,2285,1622,1622,1622
651,651,651,651,651,834,651,651,651
641,641,641,641,641,1076,641,641,727
644,644,644,644,644,644,644,644,644
415,415,415,415,415,415,415,415,415
592,592,592,592,592,1481,592,592,592
453,453,453,453,453,1157,453,453,453
913,836,836,913,836,976,913,913,913
690,690,690,690,690,1223,794,690,794
506,506,506,506,1230,1368,506,506,1104
640,640,640,640,640,1280,640,640,640
275,275,275,275,275,863,275,275,275
1253,1253,1253,1253,1253,1425,1253,1253,1253
532,532,532,532,532,532,532,532,532
575,779,575,575,575,1336,575,779,575
997,997,997,997,997,2399,997,997,997
4745,4745,4745,4745,4745,4783,4745,4745,4745
863,863,863,863,863,1372,863,863,863
969,969,969,969,1268,1323,969,969,1268
426,426,314,426,426,541,426,426,426
308,308,308,308,308,308,308,308,308
1000,715,715,1000,1000,1491,715,715,715
513,513,513,513,513,1339,498,513,513
1082,1082,1082,1082,1082,1463,1082,1082,1082
367,367,367,367,367,2034,367,367,367
417,417,417,417,417,1720,417,417,417
350,384,350,350,350,667,416,384,384
1278,1278,1278,1645,1278,1627,1627,1278,1627
2334,1898,1898,2334,2533,1898,1898,1898,1898
353,353,353,353,353,353,353,353,353
856,803,803,856,856,803,803,803,856
482,482,482,482,705,889,677,482,482
564,516,315,750,750,315,516,516,516
664,664,664,664,664,1191,664,664,664
742,742,742,742,742,742,742,742,742
491,491,1329,491,1329,2141,491,491,1329
2109,2109,2109,2653,2109,2351,2109,2109,2109
5742,5497,5497,6311,5742,6106,5827,5497,5497
1094,1094,1094,1094,1094,2262,1094,1094,1094
1300,1520,1300,1300,1300,2227,1300,1520,1300
600,1315,1122,1607,1033,1607,600,1543,1543
1761,1673,1673,1840,1840,1720,1673,1673,1673
675,675,675,675,800,1504,675,675,675
702,702,702,881,702,796,702,702,955
1332,1332,1332,1332,1332,2528,1332,1332,1332
2786,2786,2786,2786,2786,2786,2786,2786,2786
207,207,207,584,584,584,207,207,207
674,674,674,674,674,1015,674,674,674
372,372,372,372,464,809,464,372,372
1892,1892,1892,1804,1804,2231,1892,1892,1892
493,493,493,493,1332,1814,493,493,493
2167,2167,2167,2167,2167,2327,2167,2167,2167
2267,2267,2267,2267,2267,2698,2267,2267,2267
1258,1614,1599,1599,1571,1499,1599,1599,1599
685,685,685,685,685,1871,740,685,685
4293,4576,4576,4625,4625,4625,4576,4576,4576
428,566,428,428,428,1033,428,566,428
942,942,942,942,942,2897,942,942,942
659,659,659,659,659,2317,659,659,659
1517,2299,1517,1517,2437,2437,1517,1517,2299
398,398,398,398,771,398,398,398,398
1127,1127,1127,1127,1127,3326,1127,1127,1127
2207,2026,2026,2266,2365,2026,2026,2026,2026
702,702,702,702,833,808,702,702,702
